Fill , Create Time , Duration Stable , Bfield , Peak Inst Lumi , Peak Pileup , Peak Spec Lumi , Delivered Lumi , Recorded Lumi , Eff By Lumi , Eff By Time , Begin Time , to Ready , End Time , Type , Energy , I Beam1 (x10^11) , I Beam2 (x10^11) , nB1 , nB2 , nCol , nTar , xIng (micro rad) , Injection Scheme , Runs ,Comments, 
5456, 2016.10.27 08:09:23 , 4 hr 10 min ,3.800276085,0.663,0.854,0.132,0.006,0.005,76.951,98.288, 2016.10.27 10:02:52 ,2.506, 2016.10.27 14:12:59 , Proton - PROTON vs PROTON,6499,9.682,10.092,10,10,5,5,0, Single_nominals_10b_5_0_5_MD1814 , 284077 284078  ,, 
5451, 2016.10.26 05:49:45 , 12 hr 05 min ,3.800276085,13645.541,44.026,5.651,385.322,349.952,90.821,93.854, 2016.10.26 08:55:29 ,0.759, 2016.10.26 21:00:18 , Proton - PROTON vs PROTON,6499,2316.03,2343.481,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 284025 284029 284035 284036 284037 284038 284039 284040 284041 284042 284043 284044  ,, 
5450, 2016.10.26 00:20:10 , 3 hr 50 min ,3.800276085,13772.509,44.393,5.709,111.057,106.419,95.824,98.943, 2016.10.26 01:52:23 ,0.846, 2016.10.26 05:42:41 , Proton - PROTON vs PROTON,6499,2316.641,2342.844,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 284006 284014  ,, 
5448, 2016.10.25 05:39:11 , 11 hr 31 min ,3.800276085,13989.892,45.094,5.568,380.033,364.634,95.948,99.373, 2016.10.25 07:29:49 ,0.809, 2016.10.25 19:00:34 , Proton - PROTON vs PROTON,6499,2362.486,2389.952,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283946 283964  ,, 
5446, 2016.10.24 16:33:50 , 9 hr 24 min ,3.800276085,14266.6,45.986,5.483,339.117,322.765,95.178,99.24, 2016.10.24 18:31:22 ,0.939, 2016.10.25 03:55:03 , Proton - PROTON vs PROTON,6499,2435.253,2393.779,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283933 283934  ,, 
5443, 2016.10.23 19:37:38 , 13 hr 54 min ,3.800276085,13371.43,43.101,5.524,416.863,400.05,95.967,99.421, 2016.10.23 23:43:09 ,0.79, 2016.10.24 13:37:32 , Proton - PROTON vs PROTON,6499,2241.96,2269.325,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283884 283885  ,, 
5442, 2016.10.23 01:15:20 , 15 hr 54 min ,3.800276085,14058.845,45.316,5.786,443.264,419.046,94.536,97.615, 2016.10.23 03:37:49 ,0.736, 2016.10.23 19:31:37 , Proton - PROTON vs PROTON,6499,2319.971,2350.683,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283876 283877 283878  ,, 
5441, 2016.10.22 15:22:44 , 7 hr 58 min ,3.800276085,14447.886,46.57,5.884,297.488,271.279,91.19,96.775, 2016.10.22 17:09:41 ,0.736, 2016.10.23 01:07:44 , Proton - PROTON vs PROTON,6499,2331.612,2359.121,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283863 283865  ,, 
5439, 2016.10.21 16:43:12 , 15 hr 60 min ,3.800276085,14069.243,45.35,5.934,417.856,398.803,95.44,98.796, 2016.10.21 20:31:46 ,16.114, 2016.10.22 12:31:22 , Proton - PROTON vs PROTON,6499,2287.658,2319.008,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283820 283830 283834 283835  ,, 
5437, 2016.10.20 23:18:29 , 7 hr 32 min ,3.800276085,13347.041,43.022,5.781,229.831,126.829,55.184,71.712, 2016.10.21 01:11:34 ,0.828, 2016.10.21 08:43:59 , Proton - PROTON vs PROTON,6499,2247.821,2293.411,2220,2220,2208,2208,140.045, 25ns_2220b_2208_1940_2036_96bpi_24inj , 283672 283675 283676 283680 283681 283682 283685  ,, 
