Fill , Create Time , Duration Stable , Bfield , Peak Inst Lumi , Peak Pileup , Peak Spec Lumi , Delivered Lumi , Recorded Lumi , Eff By Lumi , Eff By Time , Begin Time , to Ready , End Time , Type , Energy , I Beam1 (x10^11) , I Beam2 (x10^11) , nB1 , nB2 , nCol , nTar , xIng (micro rad) , Injection Scheme , Runs , Comments , 
6417, 2017.11.25 23:29:49 , 8 hr 34 min ,3.800556261,10561.749,40.265,5.463,25.153,23.856,94.843,100, 2017.11.26 01:57:49 ,5.596, 2017.11.26 10:31:27 , Proton - PROTON vs PROTON,6499,1899.927,1912.416,1868,1868,1866,1866,150, 25ns_1868b_1866_1089_1749_128bpi_17i8b4e ,307082,  , 
6415, 2017.11.25 02:01:01 , 17 hr 17 min ,3.800556261,16108.54,61.412,8.341,50.773,48.443,95.41,99.052, 2017.11.25 04:26:13 ,0.858, 2017.11.25 21:43:43 , Proton - PROTON vs PROTON,6499,1898.641,1900.275,1868,1868,1866,1866,150, 25ns_1868b_1866_1089_1749_128bpi_17i8b4e , 307073 307075 307076  ,  , 
6413, 2017.11.23 16:40:34 , 28 hr 37 min ,3.800556261,16158.827,61.603,7.916,84.303,79.013,93.725,96.75, 2017.11.23 19:37:09 ,0.913, 2017.11.25 00:14:32 , Proton - PROTON vs PROTON,6499,1947.059,1953.823,1868,1868,1866,1866,150, 25ns_1868b_1866_1089_1749_128bpi_17i8b4e , 307042 307044 307045 307046 307047 307048 307049 307050 307051 307052 307053 307054 307055 307062 307063  ,  , 
6411, 2017.11.22 18:20:17 , 17 hr 08 min ,3.800556261,15744.699,60.025,8.118,52.752,50.907,96.503,99.061, 2017.11.22 21:45:49 ,0.885, 2017.11.23 14:53:53 , Proton - PROTON vs PROTON,6499,1899.872,1904.785,1868,1868,1866,1866,150, 25ns_1868b_1866_1089_1749_128bpi_17i8b4e , 307014 307015 307016 307017  ,  , 
6405, 2017.11.21 19:19:25 , 10 hr 25 min ,3.800556261,15840.865,60.391,8.204,45.699,43.893,96.048,100, 2017.11.21 21:36:04 ,3.505, 2017.11.22 08:01:32 , Proton - PROTON vs PROTON,6499,1894.532,1901.005,1868,1868,1866,1866,150, 25ns_1868b_1866_1089_1749_128bpi_17i8b4e ,306936,  , 
6404, 2017.11.21 14:28:18 , 2 hr 09 min ,3.800556261,5403.936,59.694,8.011,13.607,6.41,47.109,82.095, 2017.11.21 17:05:28 ,0.904, 2017.11.21 19:14:34 , Proton - PROTON vs PROTON,6499,671.927,665.788,656,656,644,644,150, 25ns_656b_644_371_602_128bpi_13i8b4e , 306926 306929  ,  , 
6402, 2017.11.21 08:48:23 , 0 hr 23 min ,3.800556261,14.097,50.143,5.089,0.024,0.021,88.521,89.872, 2017.11.21 12:58:08 , n/a , 2017.11.21 13:20:41 , Proton - PROTON vs PROTON,6499,3.631,3.443,3,3,2,2,150, Single_3b_2_2_2 , 306896 306897  ,  , 
6399, 2017.11.20 09:55:33 , 17 hr 56 min ,3.800556261,904.755,3.472,0.58,27.652,24.08,87.085,92.834, 2017.11.20 12:05:51 ,97.513, 2017.11.21 06:01:46 , Proton - PROTON vs PROTON,2510,1557.084,1557.944,1548,1548,1536,1536,170, 25ns_1548b_1536_1344_846_128bpi_13i8b4e , 306810 306811 306816 306818 306820 306822 306824 306826  ,  , 
6398, 2017.11.19 19:08:07 , 12 hr 60 min ,3.800556261,944.191,3.624,0.58,27.073,26.154,96.606,99.677, 2017.11.19 20:45:46 ,0.821, 2017.11.20 09:45:32 , Proton - PROTON vs PROTON,2510,1595.001,1588.418,1548,1548,1536,1536,170, 25ns_1548b_1536_1344_846_128bpi_13i8b4e , 306801 306802  ,  , 
6397, 2017.11.18 11:03:13 , 30 hr 20 min ,3.800556261,967.055,3.711,0.58,47.326,45.667,96.494,99.855, 2017.11.18 12:40:04 ,0.822, 2017.11.19 18:59:55 , Proton - PROTON vs PROTON,2510,1616.729,1609.224,1548,1548,1536,1536,170, 25ns_1548b_1536_1344_846_128bpi_13i8b4e , 306793 306794  ,  , 
6396, 2017.11.16 19:38:40 , 37 hr 10 min ,3.800556261,784.922,3.615,0.599,40.916,39.415,96.331,99.753, 2017.11.16 21:47:12 ,0.873, 2017.11.18 10:57:36 , Proton - PROTON vs PROTON,2510,1309.664,1304.519,1292,1292,1280,1280,170, 25ns_1292b_1280_1280_800_128bpi_13i8b4e , 306772 306773 306776 306777  ,  , 
6392, 2017.11.16 02:35:01 , 9 hr 04 min ,3.800556261,1316.653,4.255,0.516,29.1,28.096,96.551,100, 2017.11.16 04:51:08 ,4.715, 2017.11.16 13:54:43 , Proton - PROTON vs PROTON,2510,2169.156,2169.417,1836,1836,1824,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e ,306709,  , 
6390, 2017.11.15 12:17:05 , 7 hr 56 min ,3.800556261,1294.19,4.182,0.51,26.721,25.812,96.598,100, 2017.11.15 15:12:43 ,0.871, 2017.11.15 23:09:09 , Proton - PROTON vs PROTON,2510,2168.015,2162.247,1836,1836,1824,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e ,306705,  , 
6389, 2017.11.15 03:05:32 , 7 hr 03 min ,3.800556261,1301.15,4.205,0.513,24.135,20.405,84.549,92.664, 2017.11.15 04:35:18 ,0.952, 2017.11.15 11:38:06 , Proton - PROTON vs PROTON,2510,2166.077,2155.424,1836,1836,1824,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e , 306651 306652 306653 306654 306656 306657  ,  , 
6388, 2017.11.15 00:58:48 , 0 hr 16 min ,3.800556261,1309.85,4.233,0.518,1.161,0.488,41.991,59.283, 2017.11.15 02:45:08 ,0.936, 2017.11.15 03:00:51 , Proton - PROTON vs PROTON,2510,2160.8,2158.05,1836,1836,1824,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e , 306645 306646 306647  ,  , 
6387, 2017.11.14 23:23:38 , 0 hr 03 min ,3.800556261,1387.023,4.482,0.488,0.123,0.114,93.338,100, 2017.11.15 00:48:39 ,0.892, 2017.11.15 00:51:54 , Proton - PROTON vs PROTON,2510,2286.711,2289.781,1836,1836,1824,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e ,306636,  , 
6386, 2017.11.14 09:48:32 , 11 hr 32 min ,3.800556261,1403.135,4.534,0.489,36.592,35.069,95.836,99.123, 2017.11.14 11:45:17 ,0.967, 2017.11.14 23:17:15 , Proton - PROTON vs PROTON,2510,2297.256,2296.285,1836,1836,1823,1824,170, 25ns_1836b_1824_1741_1094_128bpi_16i8b4e , 306629 306630 306631  ,  , 
